,post_id,date,count
3103,781,2021-08-01,5
3104,781,2021-08-15,4
3105,781,2021-08-22,1
3106,781,2021-08-29,2
3107,781,2021-09-05,4
3108,781,2021-09-19,2
3109,781,2021-09-26,2
3110,781,2021-10-03,1
3111,781,2021-10-10,2
3112,781,2021-10-17,5
3113,781,2021-10-24,1
3114,781,2021-10-31,2
3115,781,2021-11-07,1
3116,781,2021-11-21,2
3117,781,2021-11-28,3
3118,781,2021-12-05,3
3119,781,2021-12-12,5
3120,781,2021-12-19,3
3121,781,2021-12-26,2
3122,781,2022-01-02,1
3123,781,2022-01-09,3
3124,781,2022-01-16,1
3125,781,2022-01-23,3
3126,781,2022-01-30,4
3127,781,2022-02-06,3
3128,781,2022-02-13,3
3129,781,2022-02-20,5
3130,781,2022-02-27,3
3131,781,2022-03-06,2
3132,781,2022-03-13,7
3133,781,2022-03-20,4
3134,781,2022-03-27,8
3135,781,2022-04-03,7
3136,781,2022-04-10,2
3137,781,2022-04-17,5
3138,781,2022-04-24,2
3139,781,2022-05-01,3
3140,781,2022-05-22,1
3141,781,2022-05-29,4
3142,781,2022-06-05,2
3143,781,2022-06-12,3
3144,781,2022-06-19,3
3145,781,2022-07-03,2
3146,781,2022-07-17,1
3147,781,2022-07-24,1
3148,781,2022-07-31,1
3149,781,2022-08-14,4
3150,781,2022-08-21,4
3151,781,2022-08-28,3
3152,781,2022-09-04,1
3153,781,2022-09-11,3
3154,781,2022-09-18,2
3155,781,2022-10-02,3
3156,781,2022-10-09,1
3157,781,2022-10-30,3
3158,781,2022-11-13,1
3159,781,2022-11-20,5
3160,781,2022-11-27,2
3161,781,2022-12-04,1
3162,781,2022-12-18,3
3163,781,2023-01-01,2
3164,781,2023-01-08,1
3165,781,2023-01-15,1
3166,781,2023-01-22,2
3167,781,2023-01-29,1
3168,781,2023-02-05,1
3169,781,2023-02-19,2
3170,781,2023-02-26,4
3171,781,2023-03-05,2
3172,781,2023-03-12,3
3173,781,2023-03-19,5
3174,781,2023-03-26,1
3175,781,2023-04-02,2
3176,781,2023-04-09,1
3177,781,2023-04-23,3
3178,781,2023-05-07,1
3179,781,2023-05-14,2
3180,781,2023-05-28,4
3181,781,2023-06-11,2
3182,781,2023-06-18,4
3183,781,2023-07-09,1
3184,781,2023-07-23,2
3185,781,2023-07-30,1
3186,781,2023-08-06,3
3187,781,2023-08-13,3
3188,781,2023-08-20,4
